St. Nicholas Hospital, Lagos	Lagos Island
Lagos University Teaching Hospital (LUTH)	Lagos
First Consultant Hospital	Obalende[1]
Creek Hospital	Onikan, Lagos Island
Lagos State University Teaching Hospital (LASUTH)	Ikeja, Lagos
National Orthopaedic Hospital	Lagos
Lagoon Hospitals	Lagos
Eko Hospital	Ikeja
Reddington Hospital	Victoria Island[2]
Lagos Island General Hospital	Odan, Lagos
Yaba Psychiatric Hospital	Yaba, Lagos
Flying Doctors Nigeria	Lagos, operates in West Africa
Mart Life Detox Clinic	Maryland, Lagos
Gbagada General Hospital	Lagos
Ikeja General Hospital	Ikeja, Lagos
Ifako-Ijaiye General Hospital	by College Road/Iju-Ishaga Road
Isolo General Hospital	Oke Afa Road Isolo
Ikorodu General Hospital	TOS Benson Road Ikorodu
Badagry General Hospital	Hospital Road Badagry
